Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Percentage,Slugging Percentage,On-base Plus Slugging
D Snider,CF,2143,7161,1259,2116,358,85,407,1333,971,1237,99,50,0.295,0.38,0.54,0.92
A Kaline,RF,2834,10116,1622,3007,498,75,399,1583,1277,1020,137,65,0.297,0.376,0.48,0.856
A Galarraga,1B,2257,8096,1195,2333,444,32,399,1425,583,2003,128,81,0.288,0.347,0.499,0.846
D Murphy,CF,2180,7960,1197,2111,350,39,398,1266,986,1748,161,68,0.265,0.346,0.469,0.815
J Carter,LF,2189,8422,1170,2184,432,53,396,1445,527,1387,231,66,0.259,0.306,0.464,0.77
J Edmonds,CF,2010,6858,1251,1949,437,25,393,1199,998,1729,67,50,0.284,0.376,0.527,0.903
G Nettles,3B,2700,8986,1193,2225,328,28,390,1314,1088,1209,32,36,0.248,0.329,0.421,0.75
J Bench,C,2158,7658,1091,2048,381,24,389,1376,891,1278,68,43,0.267,0.342,0.476,0.818
A Ramirez,3B,2194,8136,1098,2303,495,24,386,1417,633,1238,29,18,0.283,0.341,0.492,0.833
D Evans,RF,2606,8996,1470,2446,483,73,385,1384,1391,1697,78,59,0.272,0.37,0.47,0.84
H Baines,DH,2830,9908,1299,2866,488,49,384,1628,1062,1441,34,34,0.289,0.356,0.465,0.821
L Walker,RF,1988,6907,1355,2160,471,62,383,1311,913,1231,230,76,0.313,0.4,0.565,0.965
F Howard,LF,1895,6488,864,1774,245,35,382,1119,782,1460,8,9,0.273,0.352,0.499,0.851
R Howard,1B,1572,5707,848,1475,277,21,382,1194,709,1843,12,5,0.258,0.343,0.515,0.858
J Rice,LF,2089,8225,1249,2452,373,79,382,1451,670,1423,58,34,0.298,0.352,0.502,0.854
A Belle,LF,1539,5853,974,1726,389,21,381,1239,683,961,88,41,0.295,0.369,0.564,0.933
G Stanton,RF,1437,5249,817,1386,272,11,380,974,698,1697,42,15,0.264,0.354,0.537,0.891
O Cepeda,1B,2124,7927,1131,2351,417,27,379,1365,588,1169,142,80,0.297,0.35,0.499,0.849
A Perez,1B,2777,9778,1272,2732,505,79,379,1652,925,1867,49,33,0.279,0.341,0.463,0.804
M Williams,3B,1866,7000,997,1878,338,35,378,1218,469,1363,53,35,0.268,0.317,0.489,0.806
N Cash,1B,2089,6705,1046,1820,241,41,377,1103,1043,1091,43,30,0.271,0.374,0.488,0.862
J Kent,2B,2298,8498,1320,2461,560,47,377,1518,801,1522,94,60,0.29,0.356,0.5,0.856
C Fisk,C,2499,8756,1276,2356,421,47,376,1330,849,1386,128,58,0.269,0.341,0.457,0.798
R Colavito,RF,1841,6503,971,1730,283,21,374,1159,951,880,19,27,0.266,0.359,0.489,0.848
G Hodges,1B,2072,7030,1105,1921,295,48,370,1274,943,1137,63,31,0.273,0.359,0.487,0.846
T Helton,1B,2247,7962,1401,2519,592,37,369,1406,1335,1175,37,29,0.316,0.414,0.539,0.953
R Kiner,LF,1472,5205,971,1451,216,39,369,1015,1011,749,22,2,0.279,0.398,0.548,0.946
L Berkman,1B,1879,6491,1146,1905,422,30,366,1234,1201,1300,86,48,0.293,0.406,0.537,0.943
J DiMaggio,CF,1736,6821,1390,2214,389,131,361,1537,790,369,30,9,0.325,0.398,0.579,0.977
G Gaetti,3B,2507,8951,1130,2280,443,39,360,1341,634,1602,96,65,0.255,0.308,0.434,0.742
J Mize,1B,1883,6443,1118,2011,367,83,359,1337,856,524,28,1,0.312,0.397,0.562,0.959
Y Berra,C,2120,7555,1175,2150,321,49,358,1430,704,414,30,26,0.285,0.348,0.482,0.83
C Lee,LF,2099,7983,1125,2273,469,19,358,1363,655,984,125,47,0.285,0.339,0.483,0.822
G Vaughn,LF,1731,6103,1017,1475,284,23,355,1072,865,1513,121,59,0.242,0.337,0.47,0.807
L Gonzalez,LF,2591,9157,1412,2591,596,68,354,1439,1155,1218,128,87,0.283,0.367,0.479,0.846
L May,1B,2071,7609,959,2031,340,31,354,1244,487,1570,39,35,0.267,0.313,0.459,0.772
T Hunter,CF,2372,8857,1296,2452,498,39,353,1391,661,1741,195,99,0.277,0.331,0.461,0.792
R Braun,LF,1766,6622,1080,1963,408,49,352,1154,586,1363,216,60,0.296,0.358,0.532,0.89
E Burks,CF,2000,7232,1253,2107,402,63,352,1206,793,1340,181,84,0.291,0.363,0.51,0.873
D Allen,1B,1749,6332,1099,1848,320,79,351,1119,894,1556,133,52,0.292,0.378,0.534,0.912
M Trout,CF,1410,5105,1055,1547,298,51,351,898,922,1355,204,37,0.303,0.415,0.588,1.003
C Davis,OF,2436,8673,1240,2380,424,30,350,1372,1194,1698,142,98,0.274,0.36,0.451,0.811
G Foster,LF,1977,7023,986,1925,307,47,348,1239,666,1419,51,31,0.274,0.338,0.48,0.818
J Bautista,RF,1798,6051,1022,1496,312,17,344,975,1032,1394,70,32,0.247,0.361,0.475,0.836
C Granderson,CF,2057,7236,1217,1800,346,95,344,937,924,1916,153,50,0.249,0.337,0.465,0.802
J Votto,1B,1991,7044,1145,2093,453,22,342,1106,1338,1578,80,29,0.297,0.412,0.513,0.925
R Santo,3B,2243,8143,1138,2254,365,67,342,1331,1109,1343,35,41,0.277,0.362,0.464,0.826
J Clark,RF,1994,6847,1118,1826,332,39,340,1180,1262,1442,77,61,0.267,0.379,0.476,0.855
B Powell,1B,2042,6681,889,1776,270,11,339,1187,1001,1226,20,21,0.266,0.361,0.462,0.823
T Martinez,1B,2023,7111,1009,1925,365,21,339,1271,780,1069,27,20,0.271,0.344,0.471,0.815
D Parker,RF,2466,9358,1272,2712,526,75,339,1493,683,1537,154,113,0.29,0.339,0.471,0.81
D Baylor,DH,2292,8198,1236,2135,366,28,338,1276,805,1069,285,120,0.26,0.342,0.436,0.778
J Adcock,1B,1959,6606,823,1832,295,35,336,1122,594,1059,20,25,0.277,0.337,0.485,0.822
R Can?,2B,2267,8773,1262,2639,572,33,335,1306,620,1214,51,38,0.301,0.351,0.488,0.839
D Strawberry,OF,1583,5418,898,1401,256,38,335,1000,816,1352,221,99,0.259,0.357,0.505,0.862
B Bonds,RF,1849,7043,1258,1886,302,66,332,1024,914,1757,461,169,0.268,0.353,0.471,0.824
M Alou,LF,1942,7037,1109,2134,421,39,332,1287,737,894,106,37,0.303,0.369,0.516,0.885
H Greenberg,1B,1394,5193,1051,1628,379,71,331,1276,852,844,58,26,0.313,0.412,0.605,1.017
E Longoria,3B,1915,7102,993,1884,423,26,331,1131,707,1625,58,19,0.265,0.334,0.472,0.806
D Lee,1B,1942,6962,1081,1959,432,30,331,1078,874,1622,104,48,0.281,0.365,0.495,0.86
S Green,RF,1951,7082,1129,2003,445,35,328,1070,744,1315,162,52,0.283,0.355,0.494,0.849
M Vaughn,1B,1512,5532,861,1620,270,10,328,1064,725,1429,30,18,0.293,0.383,0.523,0.906
W Horton,LF,2028,7298,873,1993,284,40,325,1163,620,1313,20,38,0.273,0.332,0.457,0.789
J Upton,LF,1845,6721,1058,1754,350,38,325,1003,785,1971,151,59,0.261,0.342,0.469,0.811
J Dye,RF,1763,6487,984,1779,363,25,325,1072,597,1308,46,26,0.274,0.338,0.488,0.826
G Carter,C,2296,7971,1025,2092,371,31,324,1225,848,997,39,42,0.262,0.335,0.439,0.774
L Parrish,C,1988,7067,856,1782,305,27,324,1070,612,1527,28,37,0.252,0.313,0.44,0.753
R Gant,LF,1832,6449,1080,1651,302,50,321,1008,770,1411,243,102,0.256,0.336,0.468,0.804
V Castilla,3B,1854,6822,902,1884,349,28,320,1105,423,1069,33,43,0.276,0.321,0.476,0.797
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S Finley,CF,2583,9397,1443,2548,449,124,304,1167,844,1299,320,118,0.271,0.332,0.442,0.774
R Hornsby,2B,2259,8173,1579,2930,541,169,301,1584,1038,679,135,64,0.358,0.434,0.577,1.011
C Klein,RF,1753,6486,1168,2076,398,74,300,1201,601,521,79,--,0.32,0.379,0.543,0.922
T Salmon,RF,1672,5934,986,1674,339,24,299,1016,970,1360,48,42,0.282,0.385,0.498,0.883
N Arenado,3B,1387,5281,806,1524,339,31,299,972,465,853,23,18,0.289,0.346,0.534,0.88
M Reynolds,3B,1688,5432,794,1283,253,14,298,871,707,1927,64,31,0.236,0.328,0.453,0.781
R Henderson,LF,3081,10961,2295,3055,510,66,297,1115,2190,1694,1406,335,0.279,0.401,0.419,0.82
C Davis,1B,1417,4978,707,1160,228,5,295,780,555,1852,19,11,0.233,0.315,0.459,0.774
R Ventura,3B,2079,7064,1006,1885,338,14,294,1182,1075,1179,24,38,0.267,0.362,0.444,0.806
M Ordonez,RF,1848,6978,1076,2156,426,21,294,1236,651,852,94,50,0.309,0.369,0.502,0.871
K Hrbek,1B,1747,6192,903,1749,312,18,293,1086,838,798,37,26,0.282,0.367,0.481,0.848
F Freeman,1B,1728,6394,1088,1908,414,27,292,1041,863,1417,66,28,0.298,0.386,0.509,0.895
P Burrell,LF,1640,5503,767,1393,299,16,292,976,932,1564,7,3,0.253,0.361,0.472,0.833
R Staub,OF,2951,9720,1189,2716,499,47,292,1466,1255,888,47,33,0.279,0.362,0.431,0.793
J Wynn,CF,1920,6653,1105,1665,285,39,291,964,1224,1427,225,101,0.25,0.366,0.436,0.802
C Biggio,2B,2850,10876,1844,3060,668,55,291,1175,1160,1753,414,124,0.281,0.363,0.433,0.796
B Johnson,LF,1863,6920,1239,2051,396,95,288,1283,1075,851,96,64,0.296,0.393,0.506,0.899
H Sauer,LF,1399,4796,709,1278,200,19,288,876,561,714,11,4,0.266,0.347,0.496,0.843
B Abreu,RF,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,128,0.291,0.395,0.475,0.87
D Ennis,LF,1903,7254,985,2063,358,69,288,1284,597,719,45,19,0.284,0.34,0.472,0.812
B Williams,CF,2076,7869,1366,2336,449,55,287,1257,1069,1212,147,87,0.297,0.381,0.477,0.858
G Anderson,LF,2228,8640,1084,2529,522,36,287,1365,429,1224,80,47,0.293,0.324,0.461,0.785
A McCutchen,RF,1898,7043,1119,1950,393,49,287,1003,988,1543,205,84,0.277,0.369,0.469,0.838
B Bonilla,3B,2113,7213,1084,2010,408,61,287,1173,912,1204,45,57,0.279,0.358,0.472,0.83
B Giles,RF,1847,6527,1121,1897,411,55,287,1078,1183,835,109,45,0.291,0.4,0.502,0.902
M Kemp,CF,1750,6365,950,1808,338,37,287,1031,518,1641,184,63,0.284,0.337,0.484,0.821
C Pena,1B,1493,4949,745,1146,231,26,286,818,817,1577,29,22,0.232,0.346,0.462,0.808
F Thomas,LF,1766,6285,792,1671,262,31,286,962,484,894,15,22,0.266,0.32,0.454,0.774
B Harper,DH,1382,4927,913,1379,298,23,285,817,879,1276,122,43,0.28,0.39,0.523,0.913
W Clark,1B,1976,7173,1186,2176,440,47,284,1205,937,1190,67,48,0.303,0.384,0.497,0.881
R Zimmerman,3B,1799,6654,963,1846,417,22,284,1061,646,1384,43,16,0.277,0.341,0.475,0.816
E Karros,1B,1755,6441,797,1724,324,11,284,1027,552,1167,59,30,0.268,0.325,0.454,0.779
M Machado,3B,1449,5688,839,1601,312,18,283,855,514,1073,85,34,0.281,0.341,0.492,0.833
A Rizzo,1B,1539,5586,840,1479,313,22,283,891,722,1048,72,42,0.265,0.367,0.481,0.848
J Martinez,LF,1413,5301,792,1525,340,21,283,901,519,1431,25,11,0.288,0.352,0.52,0.872
A Jones,CF,1823,7009,963,1939,336,29,282,945,340,1395,97,35,0.277,0.317,0.454,0.771
K Boyer,3B,2034,7455,1104,2143,318,68,282,1141,713,1017,105,77,0.287,0.349,0.462,0.811
E Davis,CF,1626,5321,938,1430,239,26,282,934,740,1398,349,66,0.269,0.359,0.482,0.841
B McCann,C,1755,6067,742,1590,294,5,282,1018,640,1054,25,9,0.262,0.337,0.452,0.789
R Sandberg,2B,2164,8385,1318,2386,403,76,282,1061,761,1260,344,107,0.285,0.344,0.452,0.796
P O'Neill,RF,2053,7318,1041,2105,451,21,281,1269,892,1166,141,73,0.288,0.363,0.47,0.833
T Kluszewski,1B,1718,5929,848,1766,290,29,279,1028,492,365,20,10,0.298,0.353,0.498,0.851
R Klesko,1B,1736,5611,874,1564,343,33,278,987,817,1077,91,41,0.279,0.37,0.5,0.87
M Cameron,CF,1955,6839,1064,1700,383,59,278,968,867,1901,297,83,0.249,0.338,0.444,0.782
C Santana,1B,1787,6341,918,1535,334,16,278,925,1149,1249,48,18,0.242,0.359,0.431,0.79
R York,1B,1603,5891,876,1621,291,52,277,1152,792,867,38,26,0.275,0.362,0.483,0.845
R Maris,RF,1463,5101,826,1325,195,42,275,850,652,733,21,9,0.26,0.345,0.476,0.821
B Downing,DH,2344,7853,1188,2099,360,28,275,1073,1197,1127,50,44,0.267,0.37,0.425,0.795
D Palmer,3B,1357,4902,734,1229,231,15,275,849,502,1332,48,31,0.251,0.324,0.472,0.796
J Posada,C,1829,6092,900,1664,379,10,275,1065,936,1453,20,21,0.273,0.374,0.474,0.848
L Parrish,3B,1891,6792,850,1789,360,33,256,992,529,1359,30,36,0.263,0.318,0.439,0.757
B Allison,RF,1542,5032,811,1281,216,53,256,796,795,1033,84,50,0.255,0.358,0.471,0.829
J Olerud,1B,2234,7592,1139,2239,500,13,255,1230,1275,1016,11,14,0.295,0.398,0.465,0.863
J Mayberry,1B,1620,5447,733,1379,211,19,255,879,881,810,20,15,0.253,0.36,0.439,0.799
K Gibson,LF,1635,5798,985,1553,260,54,255,870,718,1285,284,78,0.268,0.352,0.463,0.815
A LaRoche,1B,1605,5593,752,1452,340,13,255,882,649,1407,13,11,0.26,0.336,0.462,0.798
A Thornton,DH,1565,5291,792,1342,244,22,253,895,876,851,48,37,0.254,0.36,0.452,0.812
L Doby,CF,1533,5348,960,1515,243,52,253,970,871,1011,47,36,0.283,0.386,0.49,0.876
J Gordon,2B,1566,5707,914,1530,264,52,253,975,759,702,89,60,0.268,0.357,0.466,0.823
T Zeile,3B,2158,7573,986,2004,397,23,253,1110,945,1279,53,51,0.265,0.346,0.423,0.769
J Torre,C,2209,7874,996,2342,344,59,252,1185,779,1094,23,29,0.297,0.365,0.452,0.817
B Murcer,RF,1908,6730,972,1862,285,45,252,1043,862,841,127,75,0.277,0.357,0.445,0.802
B Boone,2B,1780,6683,927,1775,366,28,252,1021,552,1295,94,53,0.266,0.325,0.442,0.767
T Clark,1B,1559,4532,629,1188,233,11,251,824,527,1209,6,9,0.262,0.339,0.485,0.824
T Armas,CF,1432,5164,614,1302,204,39,251,815,260,1201,18,20,0.252,0.287,0.453,0.74
C Williams,OF,2003,6780,1024,1981,306,74,251,1005,690,721,115,82,0.292,0.365,0.47,0.835
R Yount,SS,2856,11008,1632,3142,583,126,251,1406,966,1350,271,105,0.285,0.342,0.43,0.772
J Valentin,SS,1678,5539,872,1348,302,41,249,816,630,1294,136,56,0.243,0.321,0.448,0.769
T Simmons,C,2456,8680,1074,2472,483,47,248,1389,855,694,21,33,0.285,0.348,0.437,0.785
G Goslin,LF,2287,8656,1482,2735,500,173,248,1609,949,585,175,89,0.316,0.387,0.5,0.887
V Stephens,SS,1720,6497,1001,1859,307,42,247,1174,692,685,25,22,0.286,0.355,0.46,0.815
J Morneau,1B,1545,5699,772,1603,349,23,247,985,573,988,5,10,0.281,0.348,0.481,0.829
V Martinez,DH,1973,7297,914,2153,423,3,246,1178,730,891,7,7,0.295,0.36,0.455,0.815
K Singleton,OF,2082,7189,985,2029,317,25,246,1065,1263,1246,21,36,0.282,0.388,0.436,0.824
D Johnson,1B,1765,5941,706,1447,247,33,245,923,584,1318,11,18,0.244,0.31,0.42,0.73
G Hartnett,C,1991,6432,867,1912,396,64,236,1179,703,697,28,7,0.297,0.37,0.489,0.859
B Nicholson,RF,1678,5546,837,1484,272,60,235,948,800,828,27,1,0.268,0.365,0.465,0.83
D Uggla,2B,1346,4759,759,1149,238,18,235,706,626,1341,26,21,0.241,0.336,0.447,0.783
B Oglivie,LF,1754,5913,784,1615,277,33,235,901,560,852,87,70,0.273,0.336,0.45,0.786
J Damon,CF,2490,9736,1668,2769,522,109,235,1139,1003,1257,408,103,0.284,0.352,0.433,0.785
K Mitchell,LF,1223,4134,630,1173,224,25,234,760,491,719,30,31,0.284,0.36,0.52,0.88
C Gonz?lez,RF,1377,5033,821,1432,302,40,234,785,448,1240,122,33,0.285,0.343,0.5,0.843
G Matthews,LF,2032,7147,1083,2011,319,51,234,978,940,1125,183,74,0.281,0.364,0.439,0.803
P Molitor,DH,2683,10835,1782,3319,605,114,234,1307,1094,1244,504,131,0.306,0.369,0.448,0.817
C Floyd,LF,1621,5318,824,1479,340,23,233,865,601,1064,148,43,0.278,0.358,0.482,0.84
J Rollins,SS,2275,9294,1421,2455,511,115,231,936,813,1264,470,105,0.264,0.324,0.418,0.742
R Deer,RF,1155,3881,578,853,148,13,230,600,575,1409,43,31,0.22,0.324,0.442,0.766
J Werth,RF,1583,5484,883,1465,300,22,229,799,764,1450,132,23,0.267,0.36,0.455,0.815
N Garciaparra,SS,1434,5586,927,1747,370,52,229,936,403,554,95,31,0.313,0.361,0.521,0.882
D Stuart,1B,1112,3997,506,1055,157,30,228,743,301,957,2,7,0.264,0.316,0.489,0.805
H Johnson,3B,1531,4940,760,1229,247,22,228,760,692,1053,231,77,0.249,0.34,0.446,0.786
H Trosky,1B,1347,5161,835,1561,331,58,228,1012,545,440,28,23,0.302,0.371,0.522,0.893
M Grissom,CF,2165,8275,1187,2251,386,56,227,967,553,1240,429,116,0.272,0.318,0.415,0.733
J Callison,RF,1886,6652,926,1757,321,89,226,840,650,1064,74,51,0.264,0.331,0.441,0.772
T Tulowitzki,SS,1291,4804,762,1391,264,24,225,780,511,900,57,32,0.29,0.361,0.495,0.856
B Grich,2B,2008,6890,1033,1833,320,47,224,864,1087,1278,104,83,0.266,0.371,0.424,0.795
E Su?rez,3B,1155,4079,584,1019,179,13,224,635,467,1233,28,17,0.25,0.334,0.465,0.799
M Lowell,3B,1601,5813,771,1619,394,7,223,952,548,817,30,14,0.279,0.342,0.464,0.806
S Perez,C,1257,4763,539,1278,238,11,223,732,181,915,6,1,0.268,0.301,0.463,0.764
T Fryman,3B,1698,6481,895,1776,345,40,223,1022,602,1369,72,38,0.274,0.336,0.443,0.779
B Doerr,2B,1865,7093,1094,2042,381,89,223,1247,809,608,54,64,0.288,0.362,0.461,0.823
D Mattingly,1B,1785,7003,1007,2153,442,20,222,1099,588,444,14,9,0.307,0.358,0.471,0.829
J Bay,LF,1278,4505,737,1200,240,30,222,754,636,1216,95,17,0.266,0.36,0.481,0.841
A Judge,RF,732,2651,538,754,121,4,222,501,472,913,40,15,0.284,0.395,0.584,0.979
G Springer,RF,1009,3915,719,1053,178,18,221,585,487,967,66,34,0.269,0.357,0.493,0.85
K Davis,LF,980,3394,506,820,164,9,221,590,328,1017,18,5,0.242,0.314,0.491,0.805
T Batista,3B,1309,4568,625,1146,226,17,221,718,287,790,47,26,0.251,0.299,0.453,0.752
G Jenkins,LF,1349,4700,688,1293,303,22,221,733,418,1186,32,14,0.275,0.344,0.49,0.834
T Oliva,RF,1676,6301,870,1917,329,48,220,947,448,645,86,55,0.304,0.353,0.476,0.829
J Pepitone,1B,1397,5097,606,1315,158,35,219,721,302,526,41,32,0.258,0.301,0.432,0.733
J Bottomley,1B,1991,7471,1177,2313,465,151,219,1422,664,591,58,15,0.31,0.369,0.5,0.869
A Oliver,CF,2368,9049,1189,2743,529,77,219,1326,535,756,84,64,0.303,0.344,0.451,0.795
B Horner,3B,1020,3777,560,1047,169,8,218,685,369,512,14,18,0.277,0.34,0.499,0.839
S Choo,RF,1652,6087,961,1671,339,29,218,782,868,1579,157,55,0.275,0.377,0.447,0.824
M Trumbo,1B,1097,4085,532,1018,182,11,218,629,299,1097,23,14,0.249,0.302,0.459,0.761
T Frazier,3B,1244,4392,604,1059,212,15,218,640,438,1085,73,38,0.241,0.318,0.445,0.763
B Santiago,C,1978,6951,755,1830,323,41,217,920,430,1270,91,69,0.263,0.307,0.415,0.722
M Sweeney,1B,1454,5188,759,1540,325,5,215,909,522,613,53,25,0.297,0.366,0.486,0.852
R Fairly,1B,2442,7184,931,1913,307,33,215,1044,1052,877,35,33,0.266,0.36,0.408,0.768
P Guerrero,1B,1536,5392,730,1618,267,29,215,898,609,862,97,47,0.3,0.37,0.48,0.85
C Lemon,CF,1988,6868,973,1875,396,61,215,884,749,1024,58,76,0.273,0.355,0.442,0.797
J Conine,1B,2024,6957,870,1982,385,36,214,1071,671,1168,54,29,0.285,0.347,0.443,0.79
J Guillen,RF,1650,5888,748,1591,305,25,214,887,321,1103,31,26,0.27,0.321,0.44,0.761
M Betts,RF,1117,4473,873,1309,308,33,214,650,522,696,158,34,0.293,0.369,0.52,0.889
T Hafner,DH,1183,4058,619,1107,250,13,213,731,598,976,11,7,0.273,0.376,0.498,0.874
A Pafko,CF,1852,6292,844,1796,264,62,213,976,561,477,38,13,0.285,0.35,0.449,0.799
K Morales,DH,1363,4856,584,1289,257,7,213,740,417,978,6,15,0.265,0.327,0.453,0.78
B Skowron,1B,1658,5547,681,1566,243,53,211,888,383,870,16,18,0.282,0.332,0.459,0.791
B Phillips,2B,1902,7378,1005,2029,368,35,211,951,420,1092,209,84,0.275,0.32,0.42,0.74
